Timestamp,Environment,Camera_Count,Resolution,Target_FPS,Motion_Factor,Total_CPU,Core0_CPU,Core1_CPU,Core2_CPU,Core3_CPU,RAM_Used_MB,SoC_Temp,CPU_Freq,Throttled_State,IO_Wait,Actual_FPS,Drops
2026-07-07 14:00:25,unknown,4,"640x480,640x480,640x480,640x480",30,0,85.3,90.6,85.8,81.7,82.2,3044.5,52.09,1800.0,throttled=0x0,2.8,0.0,4
2026-07-07 14:01:07,unknown,4,"640x480,640x480,640x480,640x480",30,0,8.2,9.7,8.1,8.0,7.2,2916.5,52.09,1800.0,throttled=0x0,0.1,0.0,8
2026-07-07 14:01:48,unknown,4,"640x480,640x480,640x480,640x480",30,0,8.2,9.5,8.4,8.6,6.2,2892.4,54.04,1800.0,throttled=0x0,0.0,0.0,12
2026-07-07 14:02:29,unknown,4,"640x480,640x480,640x480,640x480",30,0,6.6,7.9,6.7,5.3,6.4,2850.8,52.09,1800.0,throttled=0x0,0.1,0.0,16
2026-07-07 14:03:10,unknown,4,"640x480,640x480,640x480,640x480",30,0,6.3,7.4,6.0,6.1,5.6,2849.4,53.07,1800.0,throttled=0x0,0.2,0.0,20
2026-07-07 14:03:51,unknown,4,"640x480,640x480,640x480,640x480",30,0,24.5,27.0,22.8,23.7,24.5,2894.5,57.94,1800.0,throttled=0x0,0.1,0.0,24
2026-07-07 14:04:32,unknown,4,"640x480,640x480,640x480,640x480",30,0,49.7,58.3,45.4,49.6,45.7,3148.3,59.89,1800.0,throttled=0x0,0.1,0.0,28
2026-07-07 14:05:13,unknown,4,"640x480,640x480,640x480,640x480",30,0,67.0,67.3,64.3,79.8,56.5,3079.1,59.89,1800.0,throttled=0x0,0.4,0.0,32
2026-07-07 14:05:54,unknown,4,"640x480,640x480,640x480,640x480",30,0,36.6,35.8,50.8,32.8,27.1,3076.8,57.45,1800.0,throttled=0x0,0.2,0.0,36
2026-07-07 14:06:36,unknown,4,"640x480,640x480,640x480,640x480",30,0,28.3,31.4,34.0,23.3,24.6,2966.9,59.4,1800.0,throttled=0x0,0.2,0.0,40
2026-07-07 14:07:17,unknown,4,"640x480,640x480,640x480,640x480",30,0,41.2,44.0,31.5,42.9,46.6,3001.0,58.91,1800.0,throttled=0x0,0.3,0.0,44
2026-07-07 14:07:58,unknown,4,"640x480,640x480,640x480,640x480",30,0,36.4,39.1,35.0,46.3,25.1,2993.3,56.97,1800.0,throttled=0x0,0.1,0.0,48
2026-07-07 14:08:39,unknown,4,"640x480,640x480,640x480,640x480",30,0,20.1,22.5,19.6,19.3,19.2,3015.3,54.53,1800.0,throttled=0x0,0.3,0.0,52
2026-07-07 14:09:20,unknown,4,"640x480,640x480,640x480,640x480",30,0,15.7,20.1,14.6,13.9,14.5,3018.6,55.02,1800.0,throttled=0x0,0.0,0.0,56
2026-07-07 14:10:01,unknown,4,"640x480,640x480,640x480,640x480",30,0,15.2,18.4,14.1,13.9,14.6,3009.2,52.09,1800.0,throttled=0x0,0.0,0.0,60
2026-07-07 14:10:42,unknown,4,"640x480,640x480,640x480,640x480",30,0,7.4,9.3,6.9,6.3,7.2,2987.9,52.58,1800.0,throttled=0x0,0.0,0.0,64
2026-07-07 14:11:23,unknown,4,"640x480,640x480,640x480,640x480",30,0,5.2,7.2,4.1,5.5,4.3,2999.0,52.09,1800.0,throttled=0x0,0.0,0.0,68
2026-07-07 14:12:05,unknown,4,"640x480,640x480,640x480,640x480",30,0,7.0,9.6,6.0,6.5,6.1,3005.4,55.02,1800.0,throttled=0x0,0.3,0.0,72
2026-07-07 14:12:46,unknown,4,"640x480,640x480,640x480,640x480",30,0,28.7,33.0,26.2,29.9,25.7,3112.1,55.99,1800.0,throttled=0x0,2.4,0.0,76
2026-07-07 14:13:26,unknown,1,160x120,30,0,85.3,83.3,77.8,85.2,94.5,3025.8,58.91,1800.0,throttled=0x0,0.0,0,1
2026-07-07 14:13:27,unknown,1,160x120,30,0,31.8,34.8,29.3,28.3,35.0,3030.6,57.94,1800.0,throttled=0x0,0.0,0.0,2
2026-07-07 14:13:28,unknown,1,160x120,30,0,29.6,37.9,24.8,27.4,28.4,3037.6,56.48,1800.0,throttled=0x0,0.0,0.0,3
2026-07-07 14:13:29,unknown,1,160x120,30,0,28.5,31.3,48.5,14.6,21.2,3040.0,56.48,1800.0,throttled=0x0,0.0,0.0,4
2026-07-07 14:13:30,unknown,1,160x120,30,0,23.2,26.2,23.3,23.1,20.4,3037.4,55.99,1800.0,throttled=0x0,0.0,0.0,5
2026-07-07 14:13:31,unknown,1,160x120,30,0,26.1,26.5,26.4,26.2,26.4,3040.9,56.48,1800.0,throttled=0x0,0.2,0.0,6
2026-07-07 14:13:32,unknown,1,160x120,30,0,20.9,26.4,17.6,15.7,21.7,3038.6,56.97,1800.0,throttled=0x0,0.5,0.0,7
2026-07-07 14:13:33,unknown,1,160x120,30,0,46.2,48.0,44.1,46.5,46.7,3025.8,56.48,1800.0,throttled=0x0,0.0,0.0,8
2026-07-07 14:13:34,unknown,1,160x120,30,0,21.2,25.3,15.7,21.1,21.1,3024.7,57.94,1800.0,throttled=0x0,0.0,0.0,9
