Timestamp,Environment,Camera_Count,Resolution,Target_FPS,Motion_Factor,Total_CPU,Core0_CPU,Core1_CPU,Core2_CPU,Core3_CPU,RAM_Used_MB,SoC_Temp,CPU_Freq,Throttled_State,IO_Wait,Actual_FPS,Drops,Threads
2026-07-11 20:57:35,test,1,640x480,30,0,53.4,52.3,50.5,55.6,55.4,2491.3,55.5,1800.0,throttled=0x0,2.1,0.0,0,809
2026-07-11 20:57:36,test,1,640x480,30,0,49.9,39.1,38.6,81.0,39.5,2500.2,55.02,1800.0,throttled=0x0,0.0,1.74,0,806
2026-07-11 20:57:37,test,1,640x480,30,0,21.3,19.0,22.5,25.0,18.2,2506.0,55.02,1800.0,throttled=0x0,0.0,0.97,0,806
2026-07-11 20:57:38,test,1,640x480,30,0,20.7,21.8,18.6,19.6,23.8,2506.6,55.02,1800.0,throttled=0x0,0.0,0.97,0,805
2026-07-11 20:57:39,test,1,640x480,30,0,21.1,19.4,26.0,18.2,20.0,2517.1,54.53,1800.0,throttled=0x0,0.3,0.97,0,808
2026-07-11 20:57:40,test,1,640x480,30,0,23.6,27.5,22.8,21.4,24.8,2518.0,54.53,1800.0,throttled=0x0,0.0,0.97,0,804
2026-07-11 20:57:41,test,1,640x480,30,0,20.6,18.8,20.6,19.2,23.1,2516.7,55.02,1800.0,throttled=0x0,0.0,0.97,0,804
2026-07-11 20:57:42,test,1,640x480,30,0,22.8,24.5,21.6,20.0,25.5,2515.0,55.02,1100.0,throttled=0x0,0.0,0.97,0,804
2026-07-11 20:57:43,test,1,640x480,30,0,21.2,23.1,20.0,20.4,19.8,2512.4,55.02,1800.0,throttled=0x0,0.0,0.95,0,802
2026-07-11 20:57:44,test,1,640x480,30,0,22.8,21.2,24.3,22.8,23.0,2511.4,55.02,1800.0,throttled=0x0,0.0,0.98,0,805
2026-07-11 20:57:45,test,1,640x480,30,0,20.4,17.3,22.5,25.7,17.2,2509.3,55.5,1800.0,throttled=0x0,0.0,0.97,0,800
2026-07-11 20:57:46,test,1,640x480,30,0,19.9,21.0,19.2,15.2,23.1,2506.7,54.53,1800.0,throttled=0x0,0.0,0.97,0,800
2026-07-11 20:57:47,test,1,640x480,30,0,20.0,19.2,23.8,18.8,17.5,2506.1,53.07,900.0,throttled=0x0,0.0,0.97,0,800
2026-07-11 20:57:48,test,1,640x480,30,0,23.4,24.3,23.3,25.5,21.9,2505.3,54.04,1800.0,throttled=0x0,0.0,0.96,0,800
2026-07-11 20:57:49,test,1,640x480,30,0,21.9,24.0,25.7,19.0,18.6,2503.4,55.02,1800.0,throttled=0x0,0.0,0.97,0,803
2026-07-11 20:57:50,test,1,640x480,30,0,48.0,47.0,49.1,42.6,53.4,2498.5,55.99,1800.0,throttled=0x0,0.0,0.97,0,801
2026-07-11 20:57:51,test,1,640x480,30,0,19.8,21.9,15.6,21.6,19.8,2497.3,55.02,1800.0,throttled=0x0,0.2,0.97,0,801
2026-07-11 20:57:52,test,1,640x480,30,0,21.1,20.6,21.0,20.0,21.4,2496.2,54.53,900.0,throttled=0x0,0.0,0.97,0,801
2026-07-11 20:57:54,test,1,640x480,30,0,22.3,21.4,24.3,22.9,21.5,2495.3,55.02,1800.0,throttled=0x0,0.0,0.95,0,801
2026-07-11 20:57:55,test,1,640x480,30,0,21.9,22.5,19.2,23.3,23.1,2492.0,55.02,1800.0,throttled=0x0,0.0,0.97,0,803
2026-07-11 20:57:56,test,1,640x480,30,0,20.1,26.5,17.2,14.3,20.8,2491.3,55.99,1800.0,throttled=0x0,0.0,0.97,0,800
2026-07-11 20:57:57,test,1,640x480,30,0,20.3,20.8,21.4,17.6,21.4,2490.6,54.53,1800.0,throttled=0x0,0.0,0.97,0,800
2026-07-11 20:57:58,test,1,640x480,30,0,19.8,26.0,16.8,22.3,12.9,2490.0,55.99,1200.0,throttled=0x0,0.2,0.97,0,800
2026-07-11 20:57:59,test,1,640x480,30,0,22.3,21.4,24.3,17.8,26.2,2491.0,55.99,1800.0,throttled=0x0,0.5,0.96,0,800
2026-07-11 20:58:00,test,1,640x480,30,0,24.1,24.0,22.5,25.5,25.2,2491.7,55.02,1800.0,throttled=0x0,0.0,0.97,0,803
2026-07-11 20:58:01,test,1,640x480,30,0,20.6,24.0,21.4,20.8,16.3,2491.3,54.04,1800.0,throttled=0x0,0.0,0.97,0,800
2026-07-11 20:58:02,test,1,640x480,30,0,23.9,20.4,25.0,30.8,18.2,2492.3,55.02,1800.0,throttled=0x0,0.5,0.97,0,806
2026-07-11 20:58:03,test,1,640x480,30,0,25.6,33.3,24.5,23.2,22.5,2496.8,55.02,900.0,throttled=0x0,0.0,0.97,0,828
2026-07-11 20:58:04,test,1,640x480,30,0,25.8,30.5,23.1,24.3,24.0,2500.6,55.02,1800.0,throttled=0x0,0.0,0.95,0,831
2026-07-11 20:58:05,test,1,640x480,30,0,19.9,18.6,23.3,17.5,19.2,2500.7,54.53,1800.0,throttled=0x0,0.0,0.97,0,828
2026-07-11 20:58:06,test,1,640x480,30,0,20.9,20.4,23.1,21.6,18.6,2500.2,55.02,1800.0,throttled=0x0,0.0,0.97,0,826
2026-07-11 20:58:07,test,1,640x480,30,0,23.3,24.5,20.8,22.2,27.2,2499.8,54.53,1800.0,throttled=0x0,0.2,0.97,0,826
2026-07-11 20:58:08,test,1,640x480,30,0,41.4,43.1,42.7,39.2,39.8,2497.7,55.5,900.0,throttled=0x0,0.0,0.97,0,827
2026-07-11 20:58:09,test,1,640x480,30,0,40.7,46.7,37.9,35.6,43.3,2500.1,55.99,1800.0,throttled=0x0,0.0,0.95,0,830
2026-07-11 20:58:10,test,1,640x480,30,0,18.9,18.6,15.8,20.6,21.6,2501.1,55.02,1800.0,throttled=0x0,0.0,0.98,0,828
