Timestamp,Environment,Camera_Count,Resolution,Target_FPS,Motion_Factor,Total_CPU,Core0_CPU,Core1_CPU,Core2_CPU,Core3_CPU,RAM_Used_MB,SoC_Temp,CPU_Freq,Throttled_State,IO_Wait,Actual_FPS,Drops,Threads
2026-07-07 14:21:57,test,1,320x240,30,0,71.3,83.8,65.7,56.6,78.6,3167.5,60.37,1800.0,throttled=0x0,0.0,0.0,0,918
2026-07-07 14:21:58,test,1,320x240,30,0,43.3,48.5,41.1,48.5,35.6,3170.6,58.43,1800.0,throttled=0x0,0.0,1.87,0,915
2026-07-07 14:21:59,test,1,320x240,30,0,21.6,20.2,16.2,23.2,24.0,3171.4,59.4,1800.0,throttled=0x0,0.0,0.97,0,911
2026-07-07 14:22:00,test,1,320x240,30,0,18.8,24.0,17.6,22.2,14.1,3170.4,59.4,1800.0,throttled=0x0,0.0,0.97,0,911
2026-07-07 14:22:01,test,1,320x240,30,0,21.2,26.3,15.8,17.6,23.5,3168.4,58.91,1100.0,throttled=0x0,0.0,0.97,0,915
2026-07-07 14:22:02,test,1,320x240,30,0,45.4,48.0,33.3,34.0,66.7,3166.3,58.91,1800.0,throttled=0x0,0.0,0.96,0,915
2026-07-07 14:22:03,test,1,320x240,30,0,27.0,41.6,22.0,23.3,17.0,3165.7,59.4,1800.0,throttled=0x0,0.2,0.97,0,912
2026-07-07 14:22:04,test,1,320x240,30,0,23.5,33.0,16.8,22.2,22.8,3160.2,58.91,1800.0,throttled=0x0,0.0,0.98,0,912
2026-07-07 14:22:05,test,1,320x240,30,0,18.0,15.4,19.0,18.6,17.8,3159.3,58.91,1800.0,throttled=0x0,0.0,0.98,0,912
2026-07-07 14:22:06,test,1,320x240,30,0,24.1,25.5,21.2,22.8,25.7,3157.0,58.43,1000.0,throttled=0x0,0.0,0.97,0,915
2026-07-07 14:22:07,test,1,320x240,30,0,20.5,24.7,14.9,20.8,22.3,3155.5,58.91,1800.0,throttled=0x0,0.0,0.96,0,912
2026-07-07 14:22:08,test,1,320x240,30,0,20.5,19.1,21.6,20.6,20.6,3153.5,58.43,1800.0,throttled=0x0,2.3,0.97,0,912
2026-07-07 14:22:09,test,1,320x240,30,0,18.1,20.0,16.2,19.0,16.8,3151.9,57.45,1800.0,throttled=0x0,0.0,0.97,0,912
2026-07-07 14:22:10,test,1,320x240,30,0,46.4,51.1,45.2,45.6,44.1,3145.5,58.43,1800.0,throttled=0x0,0.0,0.97,0,912
2026-07-07 14:22:11,test,1,320x240,30,0,26.5,33.0,25.0,20.6,26.9,3148.1,58.43,1000.0,throttled=0x0,0.0,0.97,0,914
2026-07-07 14:22:12,test,1,320x240,30,0,21.9,23.2,17.1,22.4,25.5,3147.7,58.91,1800.0,throttled=0x0,0.0,0.96,0,911
2026-07-07 14:22:13,test,1,320x240,30,0,18.7,24.8,15.2,13.1,20.8,3146.3,57.94,1800.0,throttled=0x0,0.0,0.98,0,910
2026-07-07 14:22:14,test,1,320x240,30,0,17.4,18.8,13.0,21.2,16.8,3144.6,57.94,1800.0,throttled=0x0,0.2,0.97,0,910
2026-07-07 14:22:15,test,1,320x240,30,0,20.9,25.2,20.2,15.8,22.3,3145.7,57.45,1800.0,throttled=0x0,0.0,0.97,0,910
2026-07-07 14:22:16,test,1,320x240,30,0,23.3,30.6,22.3,20.8,21.0,3145.5,56.97,900.0,throttled=0x0,0.0,0.97,0,913
2026-07-07 14:22:18,test,1,320x240,30,0,24.1,23.5,23.3,26.9,22.8,3133.0,57.45,1800.0,throttled=0x0,0.0,0.96,0,885
2026-07-07 14:22:19,test,1,320x240,30,0,17.4,21.6,16.0,13.3,17.0,3133.0,56.97,1800.0,throttled=0x0,0.0,0.98,0,885
2026-07-07 14:22:20,test,1,320x240,30,0,18.2,19.4,19.6,15.8,18.4,3133.1,56.97,1800.0,throttled=0x0,0.2,0.98,0,884
2026-07-07 14:22:21,test,1,320x240,30,0,17.5,22.1,14.1,12.2,20.4,3133.6,57.45,1800.0,throttled=0x0,0.0,0.97,0,884
2026-07-07 14:22:22,test,1,320x240,30,0,20.8,25.5,18.6,19.6,21.0,3133.7,56.48,900.0,throttled=0x0,0.0,0.97,0,886
2026-07-07 14:22:23,test,1,320x240,30,0,20.7,22.9,21.7,20.8,16.8,3133.5,57.94,1800.0,throttled=0x0,0.0,0.95,0,883
2026-07-07 14:22:24,test,1,320x240,30,0,24.2,29.5,21.6,24.2,21.8,3132.9,56.97,1800.0,throttled=0x0,0.0,0.98,0,883
2026-07-07 14:22:25,test,1,320x240,30,0,20.4,20.7,22.3,18.4,20.0,3132.1,56.97,1800.0,throttled=0x0,0.0,0.98,0,883
2026-07-07 14:22:26,test,1,320x240,30,0,28.8,35.1,25.5,27.3,28.4,3130.7,56.97,1800.0,throttled=0x0,0.0,0.97,0,883
2026-07-07 14:22:27,test,1,320x240,30,0,32.3,37.1,29.7,35.0,27.7,3131.8,57.94,1200.0,throttled=0x0,0.0,0.97,0,886
2026-07-07 14:22:28,test,1,320x240,30,0,31.3,33.3,31.4,29.4,30.7,3131.7,56.97,1800.0,throttled=0x0,0.0,0.96,0,883
2026-07-07 14:22:29,test,1,320x240,30,0,31.0,44.1,29.0,22.8,29.4,3130.3,57.94,1800.0,throttled=0x0,0.0,0.97,0,887
2026-07-07 14:22:30,test,1,320x240,30,0,19.8,18.9,20.0,18.0,20.4,3130.2,57.94,1800.0,throttled=0x0,0.0,0.97,0,888
2026-07-07 14:22:31,test,1,320x240,30,0,20.0,30.3,16.5,15.8,18.0,3129.3,57.45,1800.0,throttled=0x0,0.0,0.97,0,888
2026-07-07 14:22:32,test,1,320x240,30,0,32.4,45.7,26.0,24.5,28.0,3128.9,56.97,1000.0,throttled=0x0,0.7,0.97,0,895
2026-07-07 14:22:33,test,1,320x240,30,0,29.7,39.7,22.3,26.1,30.4,3137.0,57.45,1800.0,throttled=0x0,1.9,0.87,0,914
2026-07-07 14:22:34,test,1,320x240,30,0,18.5,22.3,14.7,16.8,20.4,3137.4,56.97,1800.0,throttled=0x0,0.0,0.97,0,918
2026-07-07 14:22:35,test,1,320x240,30,0,17.0,23.4,13.4,14.9,16.0,3139.3,57.45,1800.0,throttled=0x0,0.0,0.97,0,918
2026-07-07 14:22:36,test,1,320x240,30,0,21.0,21.5,22.2,22.0,19.2,3140.6,56.97,1800.0,throttled=0x0,0.0,0.97,0,920
2026-07-07 14:22:37,test,1,320x240,30,0,23.7,27.7,18.4,27.6,19.2,3141.7,56.97,900.0,throttled=0x0,0.0,0.97,0,917
2026-07-07 14:22:38,test,1,320x240,30,0,22.1,24.7,16.8,27.2,21.2,3142.4,56.48,1800.0,throttled=0x0,2.2,0.95,0,917
2026-07-07 14:22:39,test,1,320x240,30,0,19.0,22.6,20.6,15.0,18.2,3142.1,57.94,1800.0,throttled=0x0,0.0,0.97,0,917
2026-07-07 14:22:40,test,1,320x240,30,0,21.9,27.8,15.8,20.0,21.8,3141.7,55.99,1800.0,throttled=0x0,0.0,0.96,0,917
2026-07-07 14:22:41,test,1,320x240,30,0,29.7,35.4,26.9,30.4,28.2,3128.5,57.45,1800.0,throttled=0x0,0.0,0.96,0,921
2026-07-07 14:22:42,test,1,320x240,30,0,24.8,27.1,25.5,20.6,26.7,3128.2,56.97,1200.0,throttled=0x0,0.0,0.97,0,918
2026-07-07 14:22:43,test,1,320x240,30,0,24.0,33.7,18.6,22.2,20.4,3126.6,56.97,1800.0,throttled=0x0,0.0,0.96,0,919
2026-07-07 14:22:44,test,1,320x240,30,0,22.3,28.8,19.0,20.0,22.0,3127.0,55.99,1800.0,throttled=0x0,0.2,0.98,0,919
2026-07-07 14:22:45,test,1,320x240,30,0,20.4,20.8,20.0,20.8,20.8,3127.2,56.97,1800.0,throttled=0x0,0.0,0.97,0,919
2026-07-07 14:22:47,test,1,320x240,30,0,23.5,28.6,22.8,20.8,22.8,3128.2,56.97,1800.0,throttled=0x0,0.0,0.97,0,922
2026-07-07 14:22:48,test,1,320x240,30,0,25.6,34.4,21.4,22.0,25.0,3128.4,57.45,1000.0,throttled=0x0,0.3,0.97,0,923
2026-07-07 14:22:49,test,1,320x240,30,0,23.2,23.7,23.8,21.7,23.6,3128.7,57.45,1800.0,throttled=0x0,0.0,0.96,0,923
2026-07-07 14:22:50,test,1,320x240,30,0,22.9,30.3,20.4,22.8,16.8,3128.7,57.45,1800.0,throttled=0x0,0.0,0.98,0,923
2026-07-07 14:22:51,test,1,320x240,30,0,21.6,20.4,21.6,25.0,20.6,3128.9,56.97,1800.0,throttled=0x0,0.0,0.97,0,923
2026-07-07 14:22:52,test,1,320x240,30,0,23.3,20.4,20.2,22.8,26.7,3129.2,56.97,1800.0,throttled=0x0,0.0,0.98,0,926
2026-07-07 14:22:53,test,1,320x240,30,0,22.1,28.6,18.6,23.3,19.0,3128.9,57.45,900.0,throttled=0x0,0.0,0.97,0,923
2026-07-07 14:22:54,test,1,320x240,30,0,23.5,23.2,23.3,25.0,21.0,3129.1,56.97,1800.0,throttled=0x0,0.0,0.95,0,924
2026-07-07 14:22:55,test,1,320x240,30,0,18.2,25.8,13.0,19.0,19.0,3128.8,56.97,1800.0,throttled=0x0,0.0,0.98,0,924
2026-07-07 14:22:56,test,1,320x240,30,0,18.8,18.5,19.8,14.4,20.0,3128.9,55.99,1800.0,throttled=0x0,0.0,0.97,0,924
2026-07-07 14:22:57,test,1,320x240,30,0,24.1,25.3,26.9,20.8,24.3,3126.7,56.97,1800.0,throttled=0x0,0.0,0.97,0,922
2026-07-07 14:22:58,test,1,320x240,30,0,23.3,25.8,23.5,24.8,20.6,3127.0,57.45,900.0,throttled=0x0,0.0,0.97,0,919
2026-07-07 14:22:59,test,1,320x240,30,0,21.3,31.4,18.4,16.0,17.8,3127.2,56.97,1800.0,throttled=0x0,0.0,0.94,0,915
2026-07-07 14:23:00,test,1,320x240,30,0,23.1,33.0,18.4,20.6,20.2,3127.2,57.94,1800.0,throttled=0x0,0.2,0.97,0,915
2026-07-07 14:23:01,test,1,320x240,30,0,26.6,42.6,20.2,19.0,19.6,3127.7,56.48,1800.0,throttled=0x0,0.0,0.97,0,915
2026-07-07 14:23:02,test,1,320x240,30,0,31.5,43.1,28.0,23.8,28.4,3120.1,56.97,1800.0,throttled=0x0,0.0,0.97,0,893
2026-07-07 14:23:03,test,1,320x240,30,0,23.7,25.3,25.0,24.8,20.2,3120.0,56.97,900.0,throttled=0x0,0.0,0.97,0,890
2026-07-07 14:23:04,test,1,320x240,30,0,23.6,24.5,22.3,21.6,27.2,3119.9,56.48,1800.0,throttled=0x0,0.0,0.96,0,890
2026-07-07 14:23:05,test,1,320x240,30,0,20.1,24.2,20.2,15.5,19.8,3095.6,55.99,1800.0,throttled=0x0,0.3,0.98,0,874
2026-07-07 14:23:06,test,1,320x240,30,0,30.7,44.1,20.8,27.7,29.2,3110.4,56.48,1800.0,throttled=0x0,0.0,0.95,0,886
2026-07-07 14:23:07,test,1,320x240,30,0,22.7,22.4,23.8,21.4,24.0,3114.6,55.99,1800.0,throttled=0x0,0.0,0.97,0,884
2026-07-07 14:23:08,test,1,320x240,30,0,21.7,23.5,21.6,22.5,19.2,3115.3,56.97,1000.0,throttled=0x0,0.0,0.97,0,887
2026-07-07 14:23:09,test,1,320x240,30,0,27.1,32.4,27.3,24.3,25.0,3115.9,57.45,1800.0,throttled=0x0,0.0,0.95,0,887
2026-07-07 14:23:10,test,1,320x240,30,0,29.2,36.0,29.3,25.0,24.8,3116.1,57.45,1800.0,throttled=0x0,0.0,0.97,0,887
2026-07-07 14:23:11,test,1,320x240,30,0,28.1,31.4,20.6,31.3,28.7,3120.0,55.99,1800.0,throttled=0x0,0.0,0.97,0,889
2026-07-07 14:23:12,test,1,320x240,30,0,24.0,35.0,19.4,21.2,21.0,3120.0,56.48,1800.0,throttled=0x0,0.0,0.97,0,886
2026-07-07 14:23:13,test,1,320x240,30,0,27.4,36.9,23.8,24.0,25.0,3119.8,55.99,1800.0,throttled=0x0,0.0,0.97,0,885
2026-07-07 14:23:14,test,1,320x240,30,0,25.4,27.7,20.6,30.1,22.8,3119.8,56.97,1800.0,throttled=0x0,0.0,0.97,0,885
2026-07-07 14:23:15,test,1,320x240,30,0,23.5,26.3,18.6,22.7,25.3,3120.6,56.97,1800.0,throttled=0x0,0.0,0.97,0,885
2026-07-07 14:23:16,test,1,320x240,30,0,56.4,63.0,62.4,50.5,47.4,3111.2,56.48,1800.0,throttled=0x0,0.0,0.97,0,888
2026-07-07 14:23:18,test,1,320x240,30,0,23.5,25.0,22.2,25.5,24.0,3109.9,57.45,1800.0,throttled=0x0,0.0,0.97,0,884
